frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
158,10765,precomputed_fallback,-5710.453437771523,-2170.801701303099,1172.58375574017,,,,,,obstacle,unknown,,-4783.178223,-1489.796875,1549.641724,-0.550651,0.595461,0.464563,-0.355515
159,10765,precomputed_fallback,-5700.419169830241,-2178.353860962755,1144.4859577126715,,,,,,obstacle,unknown,,-4784.452637,-1496.793579,1548.04834,-0.565483,0.584221,0.453285,-0.365304
160,10765,precomputed_fallback,-5523.904095289203,-2311.2056079034032,1156.3790732980192,,,,,,obstacle,unknown,,-4783.879883,-1502.80835,1545.541504,-0.582202,0.574937,0.439557,-0.37051
161,10766,none,,,,,,,,,,,,-4782.884766,-1508.973267,1543.03064,-0.600051,0.558958,0.428792,-0.379002
162,10766,precomputed_fallback,-5459.94699035197,-2359.342080905896,1112.9550983245172,,,,,,obstacle,unknown,,-4783.099609,-1516.71582,1541.525635,-0.610673,0.549153,0.417395,-0.388961
163,10766,precomputed_fallback,-5563.043375537284,-2281.747943913644,1166.497500318493,,,,,,obstacle,unknown,,-4781.913574,-1522.96936,1539.885498,-0.624003,0.534277,0.409766,-0.396561
164,10766,precomputed_fallback,-5495.666527545095,-2332.4582415037557,1389.1547349447123,,,,,,obstacle,unknown,,-4781.183594,-1530.835571,1538.341309,-0.635809,0.526319,0.396346,-0.402051
165,10767,precomputed_fallback,-5960.015870076721,-1982.971822247672,1554.7428989867028,,,,,,obstacle,unknown,,-4780.693848,-1538.875244,1537.411377,-0.64336,0.515561,0.387435,-0.412528
166,10767,none,,,,,,,,,,,,-4777.808105,-1544.92981,1535.498657,-0.659329,0.504991,0.375951,-0.41101
167,10767,none,,,,,,,,,,,,-4776.302734,-1552.541382,1534.630127,-0.667676,0.495062,0.36752,-0.417194
168,10767,precomputed_fallback,-5513.794272556155,-2318.8146328823627,786.1021524086618,,,,,,obstacle,unknown,,-4775.175293,-1560.115723,1533.978271,-0.673116,0.478444,0.364002,-0.430708
169,10768,precomputed_fallback,-5451.608315948666,-2365.6180744125622,667.5892974791922,,,,,,obstacle,unknown,,-4772.958008,-1567.222778,1532.947266,-0.682299,0.467281,0.356088,-0.435107
170,10768,precomputed_fallback,-5327.757516463869,-2458.8327480846738,693.5504065476844,,,,,,obstacle,unknown,,-4769.953125,-1574.02417,1531.260986,-0.696889,0.46032,0.342515,-0.430273
171,10768,precomputed_fallback,-9161.434655086752,-248.62196414207756,0.0,,,,,,floor,unknown,,-8695.274414,1664.091431,1539.790161,-0.737239,0.545282,0.239064,-0.319367
172,10768,precomputed_fallback,-9039.305221338567,286.47484313278096,0.0,,,,,,floor,unknown,,-8698.227539,1665.269775,1538.696411,-0.734672,0.547766,0.240981,-0.31959
173,10769,yolo_matched,-8928.913557735308,557.6915325349187,0.0,-8928.913557735308,557.6915325349187,0.0,467.0,776.0,obstacle,human,0.6250227689743042,-8701.59082,1667.432983,1538.545166,-0.742363,0.54183,0.240407,-0.312287
174,10769,yolo_matched,-4952.718069608868,-1935.7757707052317,0.0,-4952.718069608868,-1935.7757707052317,0.0,467.0,776.0,obstacle,human,0.6250227689743042,-4746.561523,-1588.909912,1518.188843,-0.804427,0.444203,0.343624,-0.193659
175,10769,yolo_matched,-4951.385248357823,-1948.8366466655157,0.0,-4951.385248357823,-1948.8366466655157,0.0,467.0,776.0,obstacle,human,0.6250227689743042,-4744.020508,-1595.208374,1516.722412,-0.81179,0.433922,0.339297,-0.193872
176,10769,yolo_matched,-4926.65193295658,-1964.891398174531,0.0,-4926.65193295658,-1964.891398174531,0.0,467.0,776.0,obstacle,human,0.6250227689743042,-4740.706543,-1601.051758,1514.849731,-0.817675,0.427219,0.333065,-0.194833
177,10770,precomputed_fallback,-4919.695491461194,-2021.34581209786,9.235107377872056,,,,,,floor,unknown,,-4738.077637,-1607.180176,1513.251709,-0.824041,0.416515,0.329719,-0.19687
178,10770,precomputed_fallback,-4862.181380151399,-2021.2390125275033,410.6025006457037,,,,,,obstacle,unknown,,-4735.345703,-1613.402222,1511.838501,-0.830128,0.406758,0.3254,-0.198873
179,10770,precomputed_fallback,-4840.661409473916,-2021.1990514888976,596.8622646374691,,,,,,obstacle,unknown,,-4732.396484,-1619.264526,1510.30957,-0.836134,0.396579,0.321551,-0.200521
180,10770,precomputed_fallback,-4753.935452958875,-2124.966135073262,924.177002,,,,,,obstacle,unknown,,-4729.634766,-1623.702148,1509.404785,-0.834274,0.312208,0.233993,-0.389565
181,10771,yolo_refined,-4800.398456765117,-2021.1242860799805,912.6245279724972,-4680.905776423923,-2374.572398306807,449.99999999999994,338.0,972.0,obstacle,Chairs 1,0.47587206959724426,-4726.781738,-1629.784058,1508.473389,-0.837622,0.303058,0.227143,-0.393638
182,10771,yolo_refined,-4785.039118813948,-2071.7333170632737,924.177002,-4655.7402989673865,-2362.9882701291253,450.0,338.0,972.0,obstacle,Chairs 1,0.47587206959724426,-4723.236816,-1634.72876,1506.541016,-0.843624,0.294372,0.220532,-0.391165
183,10771,yolo_refined,-4891.277140765187,-2391.364914780281,924.177002,-4787.483440407088,-2531.967983457675,449.99999999999994,338.0,972.0,obstacle,Chairs 1,0.47587206959724426,-4729.211426,-1651.182251,1513.910278,-0.786834,0.361472,0.227179,-0.445669
184,10771,yolo_refined,-4819.924389149335,-2200.5584962861626,924.177002,-4653.187741593599,-2510.814450797523,450.0,338.0,972.0,obstacle,Chairs 1,0.47587206959724426,-4723.534668,-1654.407227,1511.339844,-0.821064,0.359002,0.198827,-0.396787
185,10772,none,,,,,,,,,,,,-4720.898926,-1660.201538,1510.183838,-0.819988,0.352116,0.197701,-0.405646
186,10772,yolo_refined,-4793.572315441346,-2094.2818883529144,924.177002,-4652.560350189575,-2547.1485508625597,450.0,206.0,794.0,obstacle,Chairs 1,0.8894056081771851,-4718.445313,-1666.238892,1509.552246,-0.818709,0.344949,0.195525,-0.415327
187,10772,yolo_refined,-4723.998636427077,-2037.371543743412,924.177002,-4652.560350189575,-2547.1485508625597,450.0,206.0,794.0,obstacle,Chairs 1,0.8894056081771851,-4714.629883,-1670.569946,1507.538086,-0.824416,0.33717,0.190942,-0.412547
188,10772,yolo_refined,-4851.161587483493,-2021.218549564666,685.4556462840171,-4652.560350189575,-2547.1485508625597,450.0,206.0,794.0,obstacle,Chairs 1,0.8894056081771851,-4712.064941,-1676.011597,1506.608887,-0.830178,0.331609,0.184975,-0.408197
189,10773,yolo_refined,-4965.114793899067,-2021.430152477565,764.8789584134898,-4713.633271333122,-2540.2770687868215,449.99999999999994,387.0,737.0,obstacle,Chairs 1,0.9281269311904907,-4713.38623,-1683.098389,1508.181274,-0.841013,0.297838,0.190001,-0.409744
190,10773,yolo_refined,-4713.511638761035,-2023.079080111021,924.177002,-4684.040424325722,-2543.6066412712203,450.0,387.0,737.0,obstacle,Chairs 1,0.9281269311904907,-4710.52002,-1688.232666,1507.613525,-0.844662,0.293782,0.182959,-0.408367
191,10773,yolo_refined,-4720.046641412523,-2061.53616597933,924.177002,-4688.354904267641,-2543.1212072845715,450.0,387.0,737.0,obstacle,Chairs 1,0.9281269311904907,-4709.036621,-1694.562134,1507.048218,-0.841427,0.292268,0.183705,-0.415732
192,10773,yolo_refined,-4733.203415399823,-2146.351035471804,924.177002,-4652.560350189575,-2547.1485508625597,450.0,387.0,737.0,obstacle,Chairs 1,0.9281269311904907,-4705.290039,-1698.074585,1505.387207,-0.851113,0.282445,0.175733,-0.406139
193,10774,precomputed_fallback,-4767.239509605631,-2094.1026550994393,924.177002,,,,,,obstacle,unknown,,-4702.898438,-1703.289307,1504.593384,-0.852059,0.278467,0.171913,-0.40853
194,10774,precomputed_fallback,-4781.340638637866,-2045.630520385746,924.177002,,,,,,obstacle,unknown,,-4701.726563,-1708.904053,1503.586426,-0.853764,0.273865,0.172589,-0.407797
195,10774,precomputed_fallback,-4783.059490040762,-2044.9332732057487,924.177002,,,,,,obstacle,unknown,,-4699.20166,-1713.752686,1502.688232,-0.855275,0.270927,0.167683,-0.408639
196,10774,precomputed_fallback,-4797.10223553655,-2069.2672438101167,924.177002,,,,,,obstacle,unknown,,-4696.42334,-1717.628418,1501.552734,-0.860469,0.259204,0.162286,-0.407518
197,10775,yolo_refined,-4780.114890215348,-2031.069055338589,924.177002,-4653.456238618648,-2495.264990424359,450.00000000000006,511.0,833.0,obstacle,Chairs 1,0.9295470118522644,-4692.971191,-1720.747314,1499.618774,-0.872174,0.26065,0.151671,-0.385188
